timestamp_utc,ticker,jupiter_price_usd,market_open,equity_feed,equity_price,equity_conf,equity_publish_utc,equity_status,xstock_feed,xstock_price,xstock_conf,xstock_publish_utc,xstock_status
2026-09-18T21:10:00Z,NVDAx,221.49987513186022,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-18T21:10:00Z,TSLAx,363.96459906652007,0,Equity.US.TSLA/USD,364.14506000000006,0.055060000000000005,2026-09-18T21:10:04Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-18T21:10:00Z,SPYx,762.6770242953824,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-18T21:15:00Z,NVDAx,221.74445783326618,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-18T21:15:00Z,TSLAx,363.8284190874413,0,Equity.US.TSLA/USD,364.12504,0.020040000000000002,2026-09-18T21:15:04Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-18T21:15:00Z,SPYx,762.707868184017,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-18T21:20:00Z,NVDAx,221.69036091661226,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-18T21:20:00Z,TSLAx,363.859797668659,0,Equity.US.TSLA/USD,364.16576000000003,0.040240000000000005,2026-09-18T21:20:04Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-18T21:20:00Z,SPYx,762.5569696763176,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-18T21:25:00Z,NVDAx,221.85003936603985,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-18T21:25:00Z,TSLAx,364.00043935422246,0,Equity.US.TSLA/USD,364.26982000000004,0.042420000000000006,2026-09-18T21:25:04Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-18T21:25:00Z,SPYx,761.4229434173473,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-18T21:30:00Z,NVDAx,221.5419295255888,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-18T21:30:00Z,TSLAx,363.97957493410837,0,Equity.US.TSLA/USD,364.23006000000004,0.030060000000000003,2026-09-18T21:30:05Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-18T21:30:00Z,SPYx,760.5309221921535,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-18T21:35:00Z,NVDAx,221.9195710411446,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-18T21:35:00Z,TSLAx,363.9437138431843,0,Equity.US.TSLA/USD,364.23501000000005,0.01501,2026-09-18T21:35:05Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-18T21:35:00Z,SPYx,761.8272780065915,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-18T23:39:36Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-18T23:39:36Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-18T23:39:36Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-18T23:40:00Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-18T23:40:00Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-18T23:40:00Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-19T02:30:41Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-19T02:30:41Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-19T02:30:41Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-19T02:49:58Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-19T02:49:58Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-19T02:49:58Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-19T02:50:00Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-19T02:50:00Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-19T02:50:00Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-19T03:58:01Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-19T03:58:01Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-19T03:58:01Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-19T04:12:41Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-19T04:12:41Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-19T04:12:41Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-19T04:27:41Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-19T04:27:41Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-19T04:27:41Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-19T04:42:41Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-19T04:42:41Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-19T04:42:41Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-19T05:07:12Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-19T05:07:12Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-19T05:07:12Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-19T06:38:48Z,NVDAx,,,Equity.US.NVDA/USD,,,,unreadable,Crypto.NVDAX/USD,,,,unreadable
2026-09-19T06:38:48Z,TSLAx,,,Equity.US.TSLA/USD,,,,unreadable,Crypto.TSLAX/USD,,,,unreadable
2026-09-19T06:38:48Z,SPYx,,,Equity.US.SPY/USD,,,,unreadable,Crypto.SPYX/USD,,,,unreadable
2026-09-19T07:01:16Z,NVDAx,222.10868211895976,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:01:16Z,TSLAx,364.4161582768274,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:01:16Z,SPYx,761.6368101308462,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:05:00Z,NVDAx,221.9003859968775,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:05:00Z,TSLAx,364.4808527015164,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:05:00Z,SPYx,761.6529926223676,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:10:00Z,NVDAx,221.63816243138186,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:10:00Z,TSLAx,364.4476023346582,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:10:00Z,SPYx,761.8144983167437,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:15:00Z,NVDAx,221.57534075429786,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:15:00Z,TSLAx,364.3970128621536,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:15:00Z,SPYx,761.810198482745,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:19:59Z,NVDAx,221.88962782748345,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:19:59Z,TSLAx,364.11960387043086,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:19:59Z,SPYx,761.7264364166444,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:25:00Z,NVDAx,221.8982138710129,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:25:00Z,TSLAx,364.3720406702957,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:25:00Z,SPYx,761.8887965077727,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:30:00Z,NVDAx,222.01660726418012,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:30:00Z,TSLAx,364.3353763960164,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:30:00Z,SPYx,761.9309745624885,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:35:00Z,NVDAx,221.61578561573117,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:35:00Z,TSLAx,364.05836706262403,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:35:00Z,SPYx,762.7008705535178,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:40:00Z,NVDAx,221.85551969569687,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:40:00Z,TSLAx,364.33994519566323,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:40:00Z,SPYx,761.1697783137338,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:45:00Z,NVDAx,221.786776760304,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:45:00Z,TSLAx,364.34212962269675,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:45:00Z,SPYx,762.733780979921,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:50:00Z,NVDAx,221.8033867263276,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:50:00Z,TSLAx,364.05842973204005,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:50:00Z,SPYx,762.5802207929192,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T07:55:00Z,NVDAx,221.8444854590746,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T07:55:00Z,TSLAx,364.22523258712795,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
2026-09-19T07:55:00Z,SPYx,762.2819613715757,0,Equity.US.SPY/USD,,,,not_entitled,Crypto.SPYX/USD,,,,not_entitled
2026-09-19T08:00:00Z,NVDAx,221.7755048520707,0,Equity.US.NVDA/USD,,,,not_entitled,Crypto.NVDAX/USD,,,,not_entitled
2026-09-19T08:00:00Z,TSLAx,364.6404054261161,0,Equity.US.TSLA/USD,364.18248000000006,0.03248,2026-09-18T23:59:59Z,ok,Crypto.TSLAX/USD,,,,not_entitled
